namaLokasi,dateTime,dateTimeISO,tanggalKuota,jamKuota,totalKuota,sisaKuota,jakiKuota,wilayah,kecamatan,kelurahan,jenisFaskes
RPTRA PLANET SENEN,2021-07-15T11:00:00,2021-07-15T11:00:00.000Z,7/15/2021,11:00:00,100,88,deprecated,KOTA ADM. JAKARTA PUSAT,SENEN,SENEN,deprecated
SDN 01 PINANGSIA,2021-07-14T10:00:00,2021-07-14T10:00:00.000Z,7/14/2021,10:00:00,100,87,deprecated,KOTA ADM. JAKARTA BARAT,TAMAN SARI,PINANGSIA,deprecated
SDN 01 PINANGSIA,2021-07-16T11:00:00,2021-07-16T11:00:00.000Z,7/16/2021,11:00:00,100,87,deprecated,KOTA ADM. JAKARTA BARAT,TAMAN SARI,PINANGSIA,deprecated
RUMKITLAP ARTHA GRAHAN PEDULI (AGP) ANCOL,2021-07-15T11:00:00,2021-07-15T11:00:00.000Z,7/15/2021,11:00:00,100,87,deprecated,KOTA ADM. JAKARTA UTARA,PADEMANGAN,ANCOL,deprecated
SMPN 2 JAKARTA PUSAT,2021-07-16T09:00:00,2021-07-16T09:00:00.000Z,7/16/2021,9:00:00,100,87,deprecated,KOTA ADM. JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,deprecated
GELANGGANG REMAJA KECAMATAN KELAPA GADING,2021-07-15T10:00:00,2021-07-15T10:00:00.000Z,7/15/2021,10:00:00,100,87,deprecated,KOTA ADM. JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIIMUR,deprecated
SMPN 2 JAKARTA PUSAT,2021-07-14T09:00:00,2021-07-14T09:00:00.000Z,7/14/2021,9:00:00,100,87,deprecated,KOTA ADM. JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,deprecated
GELANGGANG REMAJA KECAMATAN KELAPA GADING,2021-07-15T11:00:00,2021-07-15T11:00:00.000Z,7/15/2021,11:00:00,100,87,deprecated,KOTA ADM. JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIIMUR,deprecated
SMK 3 KEMAYORAN,2021-07-14T10:00:00,2021-07-14T10:00:00.000Z,7/14/2021,10:00:00,100,87,deprecated,KOTA ADM. JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,deprecated
SMK 3 KEMAYORAN,2021-07-16T10:00:00,2021-07-16T10:00:00.000Z,7/16/2021,10:00:00,100,87,deprecated,KOTA ADM. JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,deprecated
SMPN 2 JAKARTA PUSAT,2021-07-15T11:00:00,2021-07-15T11:00:00.000Z,7/15/2021,11:00:00,100,87,deprecated,KOTA ADM. JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,deprecated
JAKARTA ISLAMIC CENTER,2021-07-14T11:00:00,2021-07-14T11:00:00.000Z,7/14/2021,11:00:00,100,87,deprecated,KOTA ADM. JAKARTA UTARA,KOJA,TUGU UTARA,deprecated
SENTRA VAKSINASI BANK DKI- GAMBIR,2021-07-18T11:00:00,2021-07-18T11:00:00.000Z,7/18/2021,11:00:00,100,86,deprecated,KOTA ADM. JAKARTA PUSAT,GAMBIR,KEBON KELAPA,deprecated
SMP 112 PEJAGALAN,2021-07-15T11:00:00,2021-07-15T11:00:00.000Z,7/15/2021,11:00:00,100,86,deprecated,KOTA ADM. JAKARTA UTARA,PENJARINGAN,PEJAGALAN,deprecated
SMP 141 JAKARTA,2021-07-15T11:00:00,2021-07-15T11:00:00.000Z,7/15/2021,11:00:00,100,86,deprecated,KOTA ADM. JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG,deprecated
JAKARTA ISLAMIC CENTER,2021-07-15T10:00:00,2021-07-15T10:00:00.000Z,7/15/2021,10:00:00,100,86,deprecated,KOTA ADM. JAKARTA UTARA,KOJA,TUGU UTARA,deprecated
GELANGGANG REMAJA KECAMATAN KELAPA GADING,2021-07-14T09:00:00,2021-07-14T09:00:00.000Z,7/14/2021,9:00:00,100,86,deprecated,KOTA ADM. JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIIMUR,deprecated
PUSKESMAS KECAMATAN SETIABUDI,2021-07-14T09:00:00,2021-07-14T09:00:00.000Z,7/14/2021,9:00:00,100,86,deprecated,KOTA ADM. JAKARTA SELATAN,SETIABUDI,GUNTUR,deprecated
SMP 112 PEJAGALAN,2021-07-14T11:00:00,2021-07-14T11:00:00.000Z,7/14/2021,11:00:00,100,86,deprecated,KOTA ADM. JAKARTA UTARA,PENJARINGAN,PEJAGALAN,deprecated
SMPN 2 JAKARTA PUSAT,2021-07-14T10:00:00,2021-07-14T10:00:00.000Z,7/14/2021,10:00:00,100,86,deprecated,KOTA ADM. JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,deprecated
RPTRA PLANET SENEN,2021-07-16T09:00:00,2021-07-16T09:00:00.000Z,7/16/2021,9:00:00,100,86,deprecated,KOTA ADM. JAKARTA PUSAT,SENEN,SENEN,deprecated
RPTRA PLANET SENEN,2021-07-16T11:00:00,2021-07-16T11:00:00.000Z,7/16/2021,11:00:00,100,86,deprecated,KOTA ADM. JAKARTA PUSAT,SENEN,SENEN,deprecated
KANTOR CAMAT CILINCING,2021-07-16T11:00:00,2021-07-16T11:00:00.000Z,7/16/2021,11:00:00,100,85,deprecated,KOTA ADM. JAKARTA UTARA,CILINCING,CILINCING,deprecated
AULA PUSKESMAS KECAMATAN TAMBORA,2021-07-16T09:00:00,2021-07-16T09:00:00.000Z,7/16/2021,9:00:00,100,85,deprecated,KOTA ADM. JAKARTA BARAT,TAMBORA,KRENDANG,deprecated
RPTRA PLANET SENEN,2021-07-13T11:00:00,2021-07-13T11:00:00.000Z,7/13/2021,11:00:00,100,85,deprecated,KOTA ADM. JAKARTA PUSAT,SENEN,SENEN,deprecated
SMPN 2 JAKARTA PUSAT,2021-07-13T10:00:00,2021-07-13T10:00:00.000Z,7/13/2021,10:00:00,100,85,deprecated,KOTA ADM. JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,deprecated
RPTRA SUNGAI BAMBU,2021-07-14T11:00:00,2021-07-14T11:00:00.000Z,7/14/2021,11:00:00,100,85,deprecated,KOTA ADM. JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,deprecated
PRUDENTIAL MALL KOKAS,2021-07-15T09:00:00,2021-07-15T09:00:00.000Z,7/15/2021,9:00:00,100,85,deprecated,KOTA ADM. JAKARTA SELATAN,TEBET,MENTENG DALAM,deprecated
RUMKITLAP ARTHA GRAHAN PEDULI (AGP) ANCOL,2021-07-16T09:00:00,2021-07-16T09:00:00.000Z,7/16/2021,9:00:00,100,85,deprecated,KOTA ADM. JAKARTA UTARA,PADEMANGAN,ANCOL,deprecated
RUMKITLAP ARTHA GRAHAN PEDULI (AGP) ANCOL,2021-07-14T11:00:00,2021-07-14T11:00:00.000Z,7/14/2021,11:00:00,100,85,deprecated,KOTA ADM. JAKARTA UTARA,PADEMANGAN,ANCOL,deprecated
RPTRA PLANET SENEN,2021-07-13T09:00:00,2021-07-13T09:00:00.000Z,7/13/2021,9:00:00,100,85,deprecated,KOTA ADM. JAKARTA PUSAT,SENEN,SENEN,deprecated
KANTOR CAMAT CILINCING,2021-07-14T11:00:00,2021-07-14T11:00:00.000Z,7/14/2021,11:00:00,100,84,deprecated,KOTA ADM. JAKARTA UTARA,CILINCING,CILINCING,deprecated
PRUDENTIAL MALL KOKAS,2021-07-16T10:00:00,2021-07-16T10:00:00.000Z,7/16/2021,10:00:00,100,84,deprecated,KOTA ADM. JAKARTA SELATAN,TEBET,MENTENG DALAM,deprecated
JAKARTA ISLAMIC CENTER,2021-07-14T10:00:00,2021-07-14T10:00:00.000Z,7/14/2021,10:00:00,100,84,deprecated,KOTA ADM. JAKARTA UTARA,KOJA,TUGU UTARA,deprecated
RPTRA MATAHARI,2021-07-15T09:00:00,2021-07-15T09:00:00.000Z,7/15/2021,9:00:00,100,84,deprecated,KOTA ADM. JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,deprecated
SMPN 2 JAKARTA PUSAT,2021-07-15T09:00:00,2021-07-15T09:00:00.000Z,7/15/2021,9:00:00,100,84,deprecated,KOTA ADM. JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,deprecated
KANTOR CAMAT CILINCING,2021-07-14T10:00:00,2021-07-14T10:00:00.000Z,7/14/2021,10:00:00,100,84,deprecated,KOTA ADM. JAKARTA UTARA,CILINCING,CILINCING,deprecated
AULA PUSKESMAS KECAMATAN TAMBORA,2021-07-13T09:00:00,2021-07-13T09:00:00.000Z,7/13/2021,9:00:00,100,84,deprecated,KOTA ADM. JAKARTA BARAT,TAMBORA,KRENDANG,deprecated
RPTRA MATAHARI,2021-07-15T11:00:00,2021-07-15T11:00:00.000Z,7/15/2021,11:00:00,100,84,deprecated,KOTA ADM. JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,deprecated
KANTOR CAMAT CILINCING,2021-07-16T10:00:00,2021-07-16T10:00:00.000Z,7/16/2021,10:00:00,100,84,deprecated,KOTA ADM. JAKARTA UTARA,CILINCING,CILINCING,deprecated
JAKARTA ISLAMIC CENTER,2021-07-16T10:00:00,2021-07-16T10:00:00.000Z,7/16/2021,10:00:00,100,83,deprecated,KOTA ADM. JAKARTA UTARA,KOJA,TUGU UTARA,deprecated
PUSKESMAS KELURAHAN PETOJO SELATAN,2021-07-16T09:00:00,2021-07-16T09:00:00.000Z,7/16/2021,9:00:00,100,83,deprecated,KOTA ADM. JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,deprecated
RUMKITLAP ARTHA GRAHAN PEDULI (AGP) ANCOL,2021-07-14T09:00:00,2021-07-14T09:00:00.000Z,7/14/2021,9:00:00,100,83,deprecated,KOTA ADM. JAKARTA UTARA,PADEMANGAN,ANCOL,deprecated
SMK 3 KEMAYORAN,2021-07-15T11:00:00,2021-07-15T11:00:00.000Z,7/15/2021,11:00:00,100,83,deprecated,KOTA ADM. JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,deprecated
SDN 01 PINANGSIA,2021-07-14T11:00:00,2021-07-14T11:00:00.000Z,7/14/2021,11:00:00,100,83,deprecated,KOTA ADM. JAKARTA BARAT,TAMAN SARI,PINANGSIA,deprecated
RPTRA MATAHARI,2021-07-14T09:00:00,2021-07-14T09:00:00.000Z,7/14/2021,9:00:00,100,83,deprecated,KOTA ADM. JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,deprecated
KANTOR CAMAT CILINCING,2021-07-14T09:00:00,2021-07-14T09:00:00.000Z,7/14/2021,9:00:00,100,83,deprecated,KOTA ADM. JAKARTA UTARA,CILINCING,CILINCING,deprecated
AULA PUSKESMAS KECAMATAN TAMBORA,2021-07-15T09:00:00,2021-07-15T09:00:00.000Z,7/15/2021,9:00:00,100,83,deprecated,KOTA ADM. JAKARTA BARAT,TAMBORA,KRENDANG,deprecated
SMPN 8 JAKARTA,2021-07-16T10:00:00,2021-07-16T10:00:00.000Z,7/16/2021,10:00:00,100,83,deprecated,KOTA ADM. JAKARTA PUSAT,MENTENG,MENTENG,deprecated
SMK 3 KEMAYORAN,2021-07-14T11:00:00,2021-07-14T11:00:00.000Z,7/14/2021,11:00:00,100,83,deprecated,KOTA ADM. JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,deprecated
KANTOR CAMAT CILINCING,2021-07-13T10:00:00,2021-07-13T10:00:00.000Z,7/13/2021,10:00:00,100,83,deprecated,KOTA ADM. JAKARTA UTARA,CILINCING,CILINCING,deprecated
PRUDENTIAL MALL KOKAS,2021-07-15T10:00:00,2021-07-15T10:00:00.000Z,7/15/2021,10:00:00,100,83,deprecated,KOTA ADM. JAKARTA SELATAN,TEBET,MENTENG DALAM,deprecated
SMP 112 PEJAGALAN,2021-07-14T10:00:00,2021-07-14T10:00:00.000Z,7/14/2021,10:00:00,100,83,deprecated,KOTA ADM. JAKARTA UTARA,PENJARINGAN,PEJAGALAN,deprecated
PUSKESMAS KELURAHAN PETOJO SELATAN,2021-07-14T10:00:00,2021-07-14T10:00:00.000Z,7/14/2021,10:00:00,100,83,deprecated,KOTA ADM. JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,deprecated
PUSKESMAS KECAMATAN SETIABUDI,2021-07-16T11:00:00,2021-07-16T11:00:00.000Z,7/16/2021,11:00:00,100,82,deprecated,KOTA ADM. JAKARTA SELATAN,SETIABUDI,GUNTUR,deprecated
RPTRA SUNGAI BAMBU,2021-07-16T09:00:00,2021-07-16T09:00:00.000Z,7/16/2021,9:00:00,100,82,deprecated,KOTA ADM. JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,deprecated
SMP 112 PEJAGALAN,2021-07-16T10:00:00,2021-07-16T10:00:00.000Z,7/16/2021,10:00:00,100,82,deprecated,KOTA ADM. JAKARTA UTARA,PENJARINGAN,PEJAGALAN,deprecated
PUSKESMAS KELURAHAN KEBON MANGGIS,2021-07-26T10:00:00,2021-07-26T10:00:00.000Z,7/26/2021,10:00:00,1,0,deprecated,KOTA ADM. JAKARTA TIMUR,MATRAMAN,KEBON MANGGIS,deprecated
RSUD TARAKAN,2021-07-08T11:00:00,2021-07-08T11:00:00.000Z,7/8/2021,11:00:00,25,0,deprecated,KOTA ADM. JAKARTA PUSAT,GAMBIR,CIDENG,deprecated
PUSKESMAS KELURAHAN CIPAYUNG,2021-07-09T10:00:00,2021-07-09T10:00:00.000Z,7/9/2021,10:00:00,2,0,deprecated,KOTA ADM. JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,deprecated
PUSKESMAS KELURAHAN CIPINANG CEMPEDAK,2021-07-08T08:00:00,2021-07-08T08:00:00.000Z,7/8/2021,8:00:00,5,0,deprecated,KOTA ADM. JAKARTA TIMUR,JATINEGARA,CIPINANG CEMPEDAK,deprecated
PUSKESMAS KELURAHAN CILANDAK TIMUR,2021-07-30T13:00:00,2021-07-30T13:00:00.000Z,7/30/2021,13:00:00,10,0,deprecated,KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,deprecated
RSUD KEMAYORAN,2021-07-08T10:00:00,2021-07-08T10:00:00.000Z,7/8/2021,10:00:00,18,0,deprecated,KOTA ADM. JAKARTA PUSAT,KEMAYORAN,SERDANG,deprecated
PUSKESMAS KELURAHAN RAWA BUNGA,2021-07-19T09:00:00,2021-07-19T09:00:00.000Z,7/19/2021,9:00:00,5,0,deprecated,KOTA ADM. JAKARTA TIMUR,JATINEGARA,RAWA BUNGA,deprecated
SMPN 12 JAKARTA,2021-07-13T10:00:00,2021-07-13T10:00:00.000Z,7/13/2021,10:00:00,100,0,deprecated,KOTA ADM. JAKARTA SELATAN,KEBAYORAN BARU,MELAWAI,deprecated
PUSKESMAS KELURAHAN PALMERIAM,2021-07-08T11:00:00,2021-07-08T11:00:00.000Z,7/8/2021,11:00:00,1,0,deprecated,KOTA ADM. JAKARTA TIMUR,MATRAMAN,PALMERIAM,deprecated
