,namaLokasi,dateTime,dateTimeISO,tanggalKuota,jamKuota,totalKuota,sisaKuota,jakiKuota,wilayah,kecamatan,kelurahan,jenisFaskes,ADDRESS,location,point,latitude,longitude
17,RPTRA PULAU TIDUNG,2021-07-13T09:00:00,2021-07-13T09:00:00.000Z,7/13/2021,9:00:00,100,100,deprecated,KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,deprecated,"RPTRA PULAU TIDUNG,KEPULAUAN SERIBU SELATAN,JAKARTA,INDONESIA","RPTRA Pulau Tidung, Pulau Tidung, Kepulauan Seribu Selatan, Kepulauan Seribu, Daerah Khusus Ibukota Jakarta, Indonesia","(-5.797151449999999, 106.493187, 0.0)",-5.797151449999999,106.493187
18,SDN PULAU KELAPA 01 PAGI,2021-07-12T09:00:00,2021-07-12T09:00:00.000Z,7/12/2021,9:00:00,100,100,deprecated,KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,deprecated,"SDN PULAU KELAPA 01 PAGI,KEPULAUAN SERIBU UTARA,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
19,SDN PULAU KELAPA 01 PAGI,2021-07-16T09:00:00,2021-07-16T09:00:00.000Z,7/16/2021,9:00:00,100,100,deprecated,KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,deprecated,"SDN PULAU KELAPA 01 PAGI,KEPULAUAN SERIBU UTARA,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
20,RPTRA PULAU TIDUNG,2021-07-14T11:00:00,2021-07-14T11:00:00.000Z,7/14/2021,11:00:00,100,100,deprecated,KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,deprecated,"RPTRA PULAU TIDUNG,KEPULAUAN SERIBU SELATAN,JAKARTA,INDONESIA","RPTRA Pulau Tidung, Pulau Tidung, Kepulauan Seribu Selatan, Kepulauan Seribu, Daerah Khusus Ibukota Jakarta, Indonesia","(-5.797151449999999, 106.493187, 0.0)",-5.797151449999999,106.493187
21,SDN PULAU KELAPA 01 PAGI,2021-07-12T11:00:00,2021-07-12T11:00:00.000Z,7/12/2021,11:00:00,100,100,deprecated,KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,deprecated,"SDN PULAU KELAPA 01 PAGI,KEPULAUAN SERIBU UTARA,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
22,RPTRA PULAU TIDUNG,2021-07-14T10:00:00,2021-07-14T10:00:00.000Z,7/14/2021,10:00:00,100,100,deprecated,KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,deprecated,"RPTRA PULAU TIDUNG,KEPULAUAN SERIBU SELATAN,JAKARTA,INDONESIA","RPTRA Pulau Tidung, Pulau Tidung, Kepulauan Seribu Selatan, Kepulauan Seribu, Daerah Khusus Ibukota Jakarta, Indonesia","(-5.797151449999999, 106.493187, 0.0)",-5.797151449999999,106.493187
23,SDN PULAU KELAPA 01 PAGI,2021-07-16T11:00:00,2021-07-16T11:00:00.000Z,7/16/2021,11:00:00,100,100,deprecated,KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,deprecated,"SDN PULAU KELAPA 01 PAGI,KEPULAUAN SERIBU UTARA,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
24,RPTRA PULAU TIDUNG,2021-07-15T11:00:00,2021-07-15T11:00:00.000Z,7/15/2021,11:00:00,100,100,deprecated,KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,deprecated,"RPTRA PULAU TIDUNG,KEPULAUAN SERIBU SELATAN,JAKARTA,INDONESIA","RPTRA Pulau Tidung, Pulau Tidung, Kepulauan Seribu Selatan, Kepulauan Seribu, Daerah Khusus Ibukota Jakarta, Indonesia","(-5.797151449999999, 106.493187, 0.0)",-5.797151449999999,106.493187
25,RPTRA PULAU TIDUNG,2021-07-13T10:00:00,2021-07-13T10:00:00.000Z,7/13/2021,10:00:00,100,100,deprecated,KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,deprecated,"RPTRA PULAU TIDUNG,KEPULAUAN SERIBU SELATAN,JAKARTA,INDONESIA","RPTRA Pulau Tidung, Pulau Tidung, Kepulauan Seribu Selatan, Kepulauan Seribu, Daerah Khusus Ibukota Jakarta, Indonesia","(-5.797151449999999, 106.493187, 0.0)",-5.797151449999999,106.493187
26,SDN PULAU KELAPA 01 PAGI,2021-07-13T11:00:00,2021-07-13T11:00:00.000Z,7/13/2021,11:00:00,100,100,deprecated,KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,deprecated,"SDN PULAU KELAPA 01 PAGI,KEPULAUAN SERIBU UTARA,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
27,RPTRA PULAU TIDUNG,2021-07-16T09:00:00,2021-07-16T09:00:00.000Z,7/16/2021,9:00:00,100,100,deprecated,KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,deprecated,"RPTRA PULAU TIDUNG,KEPULAUAN SERIBU SELATAN,JAKARTA,INDONESIA","RPTRA Pulau Tidung, Pulau Tidung, Kepulauan Seribu Selatan, Kepulauan Seribu, Daerah Khusus Ibukota Jakarta, Indonesia","(-5.797151449999999, 106.493187, 0.0)",-5.797151449999999,106.493187
